"Time","Left.Thalamus.Proper"
3.04,6277.00527584899
3.05,6276.95067260336
3.06,6276.896169553
3.07,6276.84166650264
3.08,6276.78716345228
3.09,6276.73266040192
3.1,6276.67815735156
3.11,6276.6236543012
3.12,6276.56915125084
3.13,6276.51464820047
3.14,6276.46014515011
3.15,6276.40571327759
3.16,6276.35133168421
3.17,6276.29695009084
3.18,6276.24256849747
3.19,6276.18818690409
3.2,6276.13380531072
3.21,6276.07942371735
3.22,6276.02504212398
3.23,6275.9706605306
3.24,6275.91627896636
3.25,6275.86201929901
3.26,6275.80775963167
3.27,6275.75349996432
3.28,6275.69924029698
3.29,6275.64498062963
3.3,6275.59072096229
3.31,6275.53646129494
3.32,6275.4822016276
3.33,6275.42794196025
3.34,6275.37373301707
3.35,6275.31959574042
3.36,6275.26545846377
3.37,6275.21132118712
3.38,6275.15718391047
3.39,6275.10304663382
3.4,6275.04890935717
3.41,6274.99477208052
3.42,6274.94063480387
3.43,6274.88649752722
3.44,6274.83246205106
3.45,6274.77844762539
3.46,6274.72443319972
3.47,6274.67041877405
3.48,6274.61640434838
3.49,6274.56238992271
3.5,6274.50837549704
3.51,6274.45436107138
3.52,6274.40034664571
3.53,6274.34636216583
3.54,6274.29247104704
3.55,6274.23857992825
3.56,6274.18468880946
3.57,6274.13079769067
3.58,6274.07690657187
3.59,6274.02301545308
3.6,6273.96912433429
3.61,6273.9152332155
3.62,6273.86134209671
3.63,6273.80753229478
3.64,6273.75376493436
3.65,6273.69999757394
3.66,6273.64623021352
3.67,6273.59246285311
3.68,6273.53869549269
3.69,6273.48492813227
3.7,6273.43116077185
3.71,6273.37739341143
3.72,6273.32363490278
3.73,6273.26999174783
3.74,6273.21634859288
3.75,6273.16270543792
3.76,6273.10906228297
3.77,6273.05541912801
3.78,6273.00177597306
3.79,6272.9481328181
3.8,6272.89448966315
3.81,6272.84084650819
3.82,6272.78726386652
3.83,6272.7337453597
3.84,6272.68022685289
3.85,6272.62670834607
3.86,6272.57318983925
3.87,6272.51967133244
3.88,6272.46615282562
3.89,6272.4126343188
3.9,6272.35911581199
3.91,6272.30559730517
3.92,6272.25219133588
3.93,6272.19879791545
3.94,6272.14540449503
3.95,6272.0920110746
3.96,6272.03861765417
3.97,6271.98522423374
3.98,6271.93183081332
3.99,6271.87843739289
4,6271.82504397246
4.01,6271.77168995083
4.02,6271.71842205062
4.03,6271.6651541504
4.04,6271.61188625018
4.05,6271.55861834996
4.06,6271.50535044974
4.07,6271.45208254953
4.08,6271.39881464931
4.09,6271.34554674909
4.1,6271.29227884887
4.11,6271.23910265126
4.12,6271.18596070064
4.13,6271.13281875001
4.14,6271.07967679938
4.15,6271.02653484876
4.16,6270.97339289813
4.17,6270.92025094751
4.18,6270.86710899688
4.19,6270.81396704625
4.2,6270.76084307814
4.21,6270.70782750205
4.22,6270.65481192595
4.23,6270.60179634985
4.24,6270.54878077376
4.25,6270.49576519766
4.26,6270.44274962156
4.27,6270.38973404547
4.28,6270.33671846937
4.29,6270.28370289327
4.3,6270.23075787873
4.31,6270.17786909765
4.32,6270.12498031657
4.33,6270.07209153549
4.34,6270.0192027544
4.35,6269.96631397332
4.36,6269.91342519224
4.37,6269.86053641115
4.38,6269.80764763007
4.39,6269.75475884899
4.4,6269.70199355252
4.41,6269.64923198248
4.42,6269.59647041243
4.43,6269.54370884239
4.44,6269.49094727235
4.45,6269.43818570231
4.46,6269.38542413227
4.47,6269.33266256222
