"Time","P_D1D2"
-37.59,-223902.118076268
-37.58,-223803.792158037
-37.57,-223705.466239807
-37.56,-223607.140321576
-37.55,-223508.814403346
-37.54,-223410.488485115
-37.53,-223312.162566885
-37.52,-223213.836648654
-37.51,-223115.510730424
-37.5,-223017.184812193
-37.49,-222918.858893962
-37.48,-222820.317392258
-37.47,-222721.689355597
-37.46,-222623.061318937
-37.45,-222524.433282277
-37.44,-222425.805245617
-37.43,-222327.177208957
-37.42,-222228.549172297
-37.41,-222129.921135637
-37.4,-222031.293098976
-37.39,-221932.665062316
-37.38,-221834.037025656
-37.37,-221735.235340084
-37.36,-221636.30486946
-37.35,-221537.374398835
-37.34,-221438.443928211
-37.33,-221339.513457586
-37.32,-221240.582986962
-37.31,-221141.652516337
-37.3,-221042.722045713
-37.29,-220943.791575088
-37.28,-220844.861104464
-37.27,-220745.930633839
-37.26,-220646.868538048
-37.25,-220547.635320709
-37.24,-220448.402103371
-37.23,-220349.168886032
-37.22,-220249.935668693
-37.21,-220150.702451354
-37.2,-220051.469234015
-37.19,-219952.236016676
-37.18,-219853.002799337
-37.17,-219753.769581998
-37.16,-219654.53636466
-37.15,-219555.213633922
-37.14,-219455.677359917
-37.13,-219356.141085913
-37.12,-219256.604811908
-37.11,-219157.068537904
-37.1,-219057.532263899
-37.09,-218957.995989895
-37.08,-218858.45971589
-37.07,-218758.923441886
-37.06,-218659.387167882
-37.05,-218559.850893877
-37.04,-218460.267305095
-37.03,-218360.427667287
-37.02,-218260.58802948
-37.01,-218160.748391672
-37,-218060.908753864
-36.99,-217961.069116056
-36.98,-217861.229478248
-36.97,-217761.38984044
-36.96,-217661.550202633
-36.95,-217561.710564825
-36.94,-217461.870927017
-36.93,-217362.026258731
-36.92,-217261.88295281
-36.91,-217161.739646888
-36.9,-217061.596340967
-36.89,-216961.453035045
-36.88,-216861.309729124
-36.87,-216761.166423202
-36.86,-216661.023117281
-36.85,-216560.879811359
-36.84,-216460.736505438
-36.83,-216360.593199517
-36.82,-216260.449893595
-36.81,-216160.039956406
-36.8,-216059.592680903
-36.79,-215959.1454054
-36.78,-215858.698129896
-36.77,-215758.250854393
-36.76,-215657.803578889
-36.75,-215557.356303386
-36.74,-215456.909027883
-36.73,-215356.461752379
-36.72,-215256.014476876
-36.71,-215155.567201372
-36.7,-215054.895448084
-36.69,-214954.143904386
-36.68,-214853.392360688
-36.67,-214752.640816991
-36.66,-214651.889273293
-36.65,-214551.137729596
-36.64,-214450.386185898
-36.63,-214349.6346422
-36.62,-214248.883098503
-36.61,-214148.131554805
-36.6,-214047.380011108
-36.59,-213946.446228078
-36.58,-213845.390120444
-36.57,-213744.33401281
-36.56,-213643.277905177
-36.55,-213542.221797543
-36.54,-213441.165689909
