"Time","Left.Amygdala"
33.43,805.878552223578
33.44,805.84911907799
33.45,805.819677167967
33.46,805.790235257944
33.47,805.760793347921
33.48,805.731351437899
33.49,805.701909527876
33.5,805.672467617853
33.51,805.64302570783
33.52,805.613583797808
33.53,805.584141887785
33.54,805.554685076132
33.55,805.525226408108
33.56,805.495767740085
33.57,805.466309072061
33.58,805.436850404038
33.59,805.407391736014
33.6,805.37793306799
33.61,805.348474399967
33.62,805.319015731943
33.63,805.289551959816
33.64,805.260076470463
33.65,805.23060098111
33.66,805.201125491757
33.67,805.171650002405
33.68,805.142174513052
33.69,805.112699023699
33.7,805.083223534346
33.71,805.053748044994
33.72,805.024272555641
33.73,804.994784949178
33.74,804.96529257507
33.75,804.935800200962
33.76,804.906307826854
33.77,804.876815452747
33.78,804.847323078639
33.79,804.817830704531
33.8,804.788338330423
33.81,804.758845956315
33.82,804.729351347716
33.83,804.699842025329
33.84,804.670332702943
33.85,804.640823380556
33.86,804.611314058169
33.87,804.581804735782
33.88,804.552295413395
33.89,804.522786091008
33.9,804.493276768622
33.91,804.463767446235
33.92,804.434248834543
33.93,804.404722500255
33.94,804.375196165967
33.95,804.345669831679
33.96,804.31614349739
33.97,804.286617163103
33.98,804.257090828814
33.99,804.227564494526
34,804.198038160238
34.01,804.16851182595
34.02,804.138969094743
34.03,804.109425684833
34.04,804.079882274922
34.05,804.050338865012
34.06,804.020795455101
34.07,803.991252045191
34.08,803.96170863528
34.09,803.93216522537
34.1,803.902621815459
34.11,803.873071987535
34.12,803.843511438182
34.13,803.813950888829
34.14,803.784390339476
34.15,803.754829790123
34.16,803.72526924077
34.17,803.695708691417
34.18,803.666148142064
34.19,803.636587592711
34.2,803.607027043358
34.21,803.577452926326
34.22,803.54787517361
34.23,803.518297420895
34.24,803.488719668179
34.25,803.459141915464
34.26,803.429564162748
34.27,803.399986410033
34.28,803.370408657317
34.29,803.340830904601
34.3,803.311249648852
34.31,803.281654628754
34.32,803.252059608656
34.33,803.222464588558
34.34,803.192869568461
34.35,803.163274548363
34.36,803.133679528265
34.37,803.104084508167
34.38,803.074489488069
34.39,803.044894467971
34.4,803.015288753025
34.41,802.985676401424
34.42,802.956064049824
34.43,802.926451698224
34.44,802.896839346623
34.45,802.867226995023
34.46,802.837614643422
34.47,802.808002291822
34.48,802.778389940221
34.49,802.74877704446
34.5,802.719147297136
34.51,802.689517549812
34.52,802.659887802487
34.53,802.630258055163
34.54,802.600628307839
34.55,802.570998560515
34.56,802.541368813191
34.57,802.511739065867
34.58,802.482109318543
34.59,802.452471792995
34.6,802.422824585625
34.61,802.393177378255
34.62,802.363530170885
34.63,802.333882963515
34.64,802.304235756145
34.65,802.274588548774
34.66,802.244941341404
34.67,802.215294134034
34.68,802.185646926664
34.69,802.155984653636
34.7,802.126319921796
34.71,802.096655189956
34.72,802.066990458115
34.73,802.037325726275
34.74,802.007660994435
34.75,801.977996262595
34.76,801.948331530754
34.77,801.918666798914
34.78,801.888997249478
34.79,801.859314928642
34.8,801.829632607806
34.81,801.79995028697
34.82,801.770267966133
34.83,801.740585645297
34.84,801.710903324461
34.85,801.681221003624
34.86,801.651538682788
34.87,801.621856361952
34.88,801.592161893587
34.89,801.562461919126
34.9,801.532761944665
34.91,801.503061970204
34.92,801.473361995743
34.93,801.443662021282
34.94,801.413962046822
34.95,801.384262072361
34.96,801.3545620979
34.97,801.324860310681
34.98,801.295142617864
34.99,801.265424925047
35,801.23570723223
35.01,801.205989539414
35.02,801.176271846597
35.03,801.14655415378
35.04,801.116836460963
35.05,801.087118768146
35.06,801.057401075329
