"Time","Right.Amygdala"
7.52,920.499060635354
7.53,920.476643943483
7.54,920.454227251611
7.55,920.431810559739
7.56,920.409398908176
7.57,920.386990098028
7.58,920.36458128788
7.59,920.342172477732
7.6,920.319763667584
7.61,920.297354857436
7.62,920.274946047288
7.63,920.25253723714
7.64,920.230128426992
7.65,920.207720037438
7.66,920.185319059745
7.67,920.162918082052
7.68,920.140517104359
7.69,920.118116126666
7.7,920.095715148973
7.71,920.073314171279
7.72,920.050913193586
7.73,920.028512215893
7.74,920.0061112382
7.75,919.983713902318
7.76,919.96132070786
7.77,919.938927513402
7.78,919.916534318944
7.79,919.894141124487
7.8,919.871747930029
7.81,919.849354735571
7.82,919.826961541113
7.83,919.804568346656
7.84,919.782175152198
7.85,919.759788780038
7.86,919.737403319645
7.87,919.715017859253
7.88,919.69263239886
7.89,919.670246938468
7.9,919.647861478076
7.91,919.625476017683
7.92,919.603090557291
7.93,919.580705096898
7.94,919.558321913677
7.95,919.535944138229
7.96,919.513566362781
7.97,919.491188587333
7.98,919.468810811885
7.99,919.446433036437
8,919.424055260989
8.01,919.401677485541
8.02,919.379299710093
8.03,919.356921934645
8.04,919.334549584648
8.05,919.312179445072
8.06,919.289809305497
8.07,919.267439165921
8.08,919.245069026345
8.09,919.222698886769
8.1,919.200328747194
8.11,919.177958607618
8.12,919.155588468042
8.13,919.133219274752
8.14,919.110856722025
8.15,919.088494169298
8.16,919.066131616571
8.17,919.043769063844
8.18,919.021406511117
8.19,918.999043958389
8.2,918.976681405662
8.21,918.954318852935
8.22,918.931956300208
8.23,918.909597809888
8.24,918.887242795033
8.25,918.864887780179
8.26,918.842532765325
8.27,918.820177750471
8.28,918.797822735616
8.29,918.775467720762
8.3,918.753112705908
8.31,918.730757691054
8.32,918.708402676199
8.33,918.686054799347
8.34,918.663707273437
8.35,918.641359747528
8.36,918.619012221619
8.37,918.59666469571
8.38,918.574317169801
8.39,918.551969643892
8.4,918.529622117983
8.41,918.507274592074
8.42,918.484929799228
8.43,918.462589713384
8.44,918.44024962754
8.45,918.417909541695
8.46,918.395569455851
8.47,918.373229370007
8.48,918.350889284162
8.49,918.328549198318
8.5,918.306209112473
8.51,918.283869026629
8.52,918.2615347174
8.53,918.239202022787
8.54,918.216869328174
8.55,918.194536633562
8.56,918.172203938949
8.57,918.149871244336
8.58,918.127538549723
8.59,918.105205855111
8.6,918.082873160498
8.61,918.060541903208
8.62,918.038216551041
8.63,918.015891198873
8.64,917.993565846706
8.65,917.971240494539
8.66,917.948915142371
8.67,917.926589790203
8.68,917.904264438036
8.69,917.881939085868
8.7,917.859613733701
8.71,917.83729283041
8.72,917.814974771948
8.73,917.792656713485
8.74,917.770338655023
8.75,917.748020596561
8.76,917.725702538099
8.77,917.703384479637
8.78,917.681066421175
8.79,917.658748362713
8.8,917.636430479339
8.81,917.614119665888
8.82,917.591808852438
8.83,917.569498038988
8.84,917.547187225538
8.85,917.524876412087
8.86,917.502565598637
8.87,917.480254785187
8.88,917.457943971736
8.89,917.435633158286
8.9,917.413325499523
8.91,917.391021882436
8.92,917.36871826535
8.93,917.346414648264
8.94,917.324111031178
8.95,917.301807414091
8.96,917.279503797005
8.97,917.257200179919
8.98,917.234896562833
8.99,917.212592945746
9,917.190295422684
9.01,917.16799895336
9.02,917.145702484036
9.03,917.123406014711
9.04,917.101109545387
9.05,917.078813076062
9.06,917.056516606738
9.07,917.034220137414
9.08,917.011923668089
9.09,916.989629092716
9.1,916.967339722597
9.11,916.945050352477
9.12,916.922760982358
9.13,916.900471612238
9.14,916.878182242119
9.15,916.855892871999
9.16,916.833603501879
9.17,916.81131413176
9.18,916.78902476164
9.19,916.766740192967
9.2,916.744457873541
9.21,916.722175554114
9.22,916.699893234687
9.23,916.677610915261
9.24,916.655328595834
9.25,916.633046276407
9.26,916.61076395698
9.27,916.588481637554
9.28,916.566199984704
9.29,916.543924667502
9.3,916.521649350301
9.31,916.4993740331
9.32,916.477098715899
9.33,916.454823398697
9.34,916.432548081496
9.35,916.410272764295
9.36,916.387997447094
9.37,916.365722129893
9.38,916.343450354963
9.39,916.321181991564
9.4,916.298913628165
9.41,916.276645264766
9.42,916.254376901367
9.43,916.232108537968
9.44,916.209840174569
9.45,916.18757181117
9.46,916.165303447772
9.47,916.143035084373
9.48,916.120773098866
9.49,916.09851164089
9.5,916.076250182915
9.51,916.053988724939
9.52,916.031727266963
9.53,916.009465808988
9.54,915.987204351012
